file_name,caption_1,caption_2,caption_3,caption_4,caption_5
Distorted AM Radio noise.wav,A muddled noise of broken channel of the TV,A television blares the rhythm of a static TV.,Loud television static dips in and out of focus,The loud buzz of static constantly changes pitch and volume.,heavy static and the beginnings of a signal on a transistor radio
Distorted AM Radio noise_cap_1.wav,A muddled noise of broken channel of the TV,N/A,N/A,N/A,N/A
Distorted AM Radio noise_cap_2.wav,N/A,A television blares the rhythm of a static TV.,N/A,N/A,N/A
Distorted AM Radio noise_cap_3.wav,N/A,N/A,Loud television static dips in and out of focus,N/A,N/A
Distorted AM Radio noise_cap_4.wav,N/A,N/A,N/A,The loud buzz of static constantly changes pitch and volume.,N/A
Distorted AM Radio noise_cap_5.wav,N/A,N/A,N/A,N/A,heavy static and the beginnings of a signal on a transistor radio
Paper_Parchment_Rustling.wav,A person is turning a map over and over.,A person is very carefully rapping a gift for someone else.,A person is very carefully wrapping a gift for someone else.,"He sighed as he turned the pages of the book, stopping to scan the information.","papers are being turned, stopped, then turned again and someone is breathing."
Paper_Parchment_Rustling_cap_1.wav,A person is turning a map over and over.,N/A,N/A,N/A,N/A
Paper_Parchment_Rustling_cap_2.wav,N/A,A person is very carefully rapping a gift for someone else.,N/A,N/A,N/A
Paper_Parchment_Rustling_cap_3.wav,N/A,N/A,A person is very carefully wrapping a gift for someone else.,N/A,N/A
Paper_Parchment_Rustling_cap_4.wav,N/A,N/A,N/A,"He sighed as he turned the pages of the book, stopping to scan the information.",N/A
Paper_Parchment_Rustling_cap_5.wav,N/A,N/A,N/A,N/A,"papers are being turned, stopped, then turned again and someone is breathing."
03 Whales Slowing Down.wav,Several barnyard animals mooing in a barn while it rains outside.,"The vocalization of several whales, along with the clicking of large numbers of shrimp, reverberated below in the water.","Underwater, large numbers of shrimp clicking and several whales vocalizing.",Whales sing to one another over the flowing water in the distance.,whales sing to one another with water flowing in the background
03 Whales Slowing Down_cap_1.wav,Several barnyard animals mooing in a barn while it rains outside.,N/A,N/A,N/A,N/A
03 Whales Slowing Down_cap_2.wav,N/A,"The vocalization of several whales, along with the clicking of large numbers of shrimp, reverberated below in the water.",N/A,N/A,N/A
03 Whales Slowing Down_cap_3.wav,N/A,N/A,"Underwater, large numbers of shrimp clicking and several whales vocalizing.",N/A,N/A
03 Whales Slowing Down_cap_4.wav,N/A,N/A,N/A,Whales sing to one another over the flowing water in the distance.,N/A
03 Whales Slowing Down_cap_5.wav,N/A,N/A,N/A,N/A,whales sing to one another with water flowing in the background
