file_name,caption_1,caption_2,caption_3,caption_4,caption_5
StreetNoise.wav,Music is playing and various water jets are blasting in a car wash.,Music is playing and also the various water jets are blasting in a car wash.,Loud winds blow as multiple vehicles pass by,loud wind as multiple vehicles are passing by,"Driving fast in a car with the windows open, the wind rushing in."
StreetNoise_cap_1.wav,Music is playing and various water jets are blasting in a car wash.,N/A,N/A,N/A,N/A
StreetNoise_cap_2.wav,N/A,Music is playing and also the various water jets are blasting in a car wash.,N/A,N/A,N/A
StreetNoise_cap_3.wav,N/A,N/A,Loud winds blow as multiple vehicles pass by,N/A,N/A
StreetNoise_cap_4.wav,N/A,N/A,N/A,loud wind as multiple vehicles are passing by,N/A
StreetNoise_cap_5.wav,N/A,N/A,N/A,N/A,"Driving fast in a car with the windows open, the wind rushing in."
dorr med metallbeslag.wav,"Someone is unlocking a door, a person speaks, and a door opens and closes.",A person hammers a wood block and plays with other tools while in his shed.,A bird is pecking around a tree and chirps.,"Someone is unlocking a door, talking to a guy, opening and closing a door.",A bird it pecking around a tree and chirps
dorr med metallbeslag_cap_1.wav,"Someone is unlocking a door, a person speaks, and a door opens and closes.",N/A,N/A,N/A,N/A
dorr med metallbeslag_cap_2.wav,N/A,A person hammers a wood block and plays with other tools while in his shed.,N/A,N/A,N/A
dorr med metallbeslag_cap_3.wav,N/A,N/A,A bird is pecking around a tree and chirps.,N/A,N/A
dorr med metallbeslag_cap_4.wav,N/A,N/A,N/A,"Someone is unlocking a door, talking to a guy, opening and closing a door.",N/A
dorr med metallbeslag_cap_5.wav,N/A,N/A,N/A,N/A,A bird it pecking around a tree and chirps
Rattling at an iron gate.wav,Stones are being dumped slowly down a metal slide.,"Intermittent, repetitive metallic clanging from an unknown source",A cycle of something rattling then stopping repeatedly.,Someone is dumping stones down a metal slide at a slow speed.,Something is rattling and it rattles then stops rattles then stops repeatedly.
Rattling at an iron gate_cap_1.wav,Stones are being dumped slowly down a metal slide.,N/A,N/A,N/A,N/A
Rattling at an iron gate_cap_2.wav,N/A,"Intermittent, repetitive metallic clanging from an unknown source",N/A,N/A,N/A
Rattling at an iron gate_cap_3.wav,N/A,N/A,A cycle of something rattling then stopping repeatedly.,N/A,N/A
Rattling at an iron gate_cap_4.wav,N/A,N/A,N/A,Someone is dumping stones down a metal slide at a slow speed.,N/A
Rattling at an iron gate_cap_5.wav,N/A,N/A,N/A,N/A,Something is rattling and it rattles then stops rattles then stops repeatedly.
rain_metallic_gutter_sanus_excipio.wav,Water was flowing with repeated drips on a metallic surface.,The flowing of water with repeated drips on a metallic surface.,Light rainfall lands on a metal surface at varying intervals.,It is raining hard and some objects are blowing against the gutters.,Light rain falls onto metal at an irregular interval.
rain_metallic_gutter_sanus_excipio_cap_1.wav,Water was flowing with repeated drips on a metallic surface.,N/A,N/A,N/A,N/A
rain_metallic_gutter_sanus_excipio_cap_2.wav,N/A,The flowing of water with repeated drips on a metallic surface.,N/A,N/A,N/A
rain_metallic_gutter_sanus_excipio_cap_3.wav,N/A,N/A,Light rainfall lands on a metal surface at varying intervals.,N/A,N/A
rain_metallic_gutter_sanus_excipio_cap_4.wav,N/A,N/A,N/A,It is raining hard and some objects are blowing against the gutters.,N/A
rain_metallic_gutter_sanus_excipio_cap_5.wav,N/A,N/A,N/A,N/A,Light rain falls onto metal at an irregular interval.
walking in snow in the woods.wav,A bird chirps and someone is walking through snow.,A bird chirps as someone walks through the snow.,A person walks through the woods and crunches leaves beneath their feet as birds chirp,A small animal is walking in the forest and stepping on twigs while birds are chirping in the background.,A person walks on the leafy ground of a forest.
walking in snow in the woods_cap_1.wav,A bird chirps and someone is walking through snow.,N/A,N/A,N/A,N/A
walking in snow in the woods_cap_2.wav,N/A,A bird chirps as someone walks through the snow.,N/A,N/A,N/A
walking in snow in the woods_cap_3.wav,N/A,N/A,A person walks through the woods and crunches leaves beneath their feet as birds chirp,N/A,N/A
